samples	NMDS1	NMDS2	NMDS3
CK1	-0.490609685412	0.267174031125	-0.288257499755
CK2	0.159188055757	1.33924724263	-0.162113474265
CK3	0.498033004025	0.795090906034	-0.397811150818
JXBR161	0.48003161517	-0.454039818577	0.0595162862672
JXBR162	0.281159801293	-0.444385826453	-0.153027659807
JXBR163	0.87993819187	-0.921088168864	-0.255440915582
RW371	0.299541691353	0.596004738488	0.183663763825
RW372	0.29080439505	0.341413421172	0.749444044857
RW373	-2.82071213772	-0.234213161106	-0.097533591614
R37J161	0.314609879217	-0.243471170024	0.237847949635
R37J162	-0.48778358452	-0.400617955104	0.345956395929
R37J163	0.595798773918	-0.641114239324	-0.222244148672

stress	0.0260703949004	0	0
% variation explained	0	0	0	
