OTU	Test.Statistic	P	FDR.P	Bonferroni.P	CK.mean	RW37.mean	JXBR16.mean	R37J16.mean
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Subgroup 9	10.7349	0.0132	0.172	1	0	0	1e-04	0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	10.7349	0.0132	0.172	1	0	0	8e-04	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Order II	10.7349	0.0132	0.172	1	0	0	0	0
k__Bacteria;p__Chloroflexi;c__SAR202 clade;o__	10.7349	0.0132	0.172	1	0	0	2e-04	0
k__Bacteria;p__JL-ETNP-Z39;c__;o__	10.7349	0.0132	0.172	1	0	0	9e-04	0
k__Bacteria;p__Planctomycetes;c__Pla3 lineage;o__	10.7349	0.0132	0.172	1	0	0	2e-04	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hot Creek 32	10.7349	0.0132	0.172	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__SAR324 clade(Marine group B)	10.7349	0.0132	0.172	1	2e-04	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Subgroup 3	10.3846	0.0156	0.172	1	0.0413	0.0137	0.0073	0.0162
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	10.3846	0.0156	0.172	1	0.0257	0.0623	0.0485	0.0448
k__Bacteria;p__Verrucomicrobia;c__OPB35 soil group;o__	10.3846	0.0156	0.172	1	0.0027	9e-04	0.0088	0.0015
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30	9.9744	0.0188	0.172	1	0.003	0.0012	0.0066	0.0015
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales	9.9744	0.0188	0.172	1	1e-04	0	5e-04	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	9.6667	0.0216	0.172	1	0.0145	0.004	0.0186	0.0075
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	9.6667	0.0216	0.172	1	1e-04	0	0.0013	0
k__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__	9.5128	0.0232	0.172	1	6e-04	3e-04	0.0071	4e-04
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__AT-s3-28	9.4696	0.0237	0.172	1	0	0	2e-04	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__FFCH5909	9.4615	0.0237	0.172	1	5e-04	2e-04	0	4e-04
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales	9.4615	0.0237	0.172	1	0.0102	0.0138	0.0024	0.0125
k__Bacteria;p__Chloroflexi;c__S085;o__	9.4615	0.0237	0.172	1	0.0031	0.0016	0.0137	0.0017
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__TRA3-20	9.4615	0.0237	0.172	1	0.0017	6e-04	0.0119	5e-04
k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales	9.4615	0.0237	0.172	1	5e-04	3e-04	0.0014	2e-04
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales	9.3918	0.0245	0.172	1	7e-04	7e-04	0	5e-04
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Subgroup 17	9.359	0.0249	0.172	1	6e-04	2e-04	0.0032	2e-04
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	9.359	0.0249	0.172	1	2e-04	1e-04	2e-04	1e-04
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	9.359	0.0249	0.172	1	0.036	0.0942	0.0363	0.0832
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	9.359	0.0249	0.172	1	1e-04	0	0.0019	0
k__Archaea;p__Thaumarchaeota;c__Soil Crenarchaeotic Group(SCG);Other	9.3119	0.0254	0.172	1	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales	9.3119	0.0254	0.172	1	0	0	1e-04	0
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales	9.2564	0.0261	0.172	1	4e-04	1e-04	5e-04	1e-04
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	9.2564	0.0261	0.172	1	0.0266	0.0915	0.0339	0.0629
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Glycomycetales	9.186	0.0269	0.172	1	0	0	5e-04	1e-04
k__Bacteria;p__Spirochaetae;c__Spirochaetes;o__Spirochaetales	9.0757	0.0283	0.172	1	2e-04	0	1e-04	0
k__Bacteria;p__Planctomycetes;c__OM190;o__	9.0604	0.0285	0.172	1	0	0	3e-04	0
k__Bacteria;p__Aerophobetes;c__;o__	9.0513	0.0286	0.172	1	3e-04	1e-04	6e-04	1e-04
