samples	NMDS1	NMDS2	NMDS3

CK1	-0.467060954266	0.678733175966	0.0278446133622

CK2	-0.725647547255	0.678170061868	-0.372897367486

CK3	-0.57090277961	0.157455849201	-0.402784247815

JXBR161	1.47374757696	0.257870147351	0.0536407054144

JXBR162	1.69296882993	-0.319761516807	0.129991352156

JXBR163	1.61390770075	0.170229800282	-0.264917825763

RW371	-0.457596597991	-1.05634259943	-0.388377507194

RW372	-0.668348718933	-0.322389355579	-0.0954445333499

RW373	-0.431363445563	-0.139424990861	0.0657490976734

R37J161	-0.630486505792	0.0877705009877	0.256232744091

R37J162	-0.410690179833	0.185054596555	0.515349665078

R37J163	-0.418527378392	-0.377365669534	0.475613303833


stress	0.024730246082	0	0
% variation explained	0	0	0	
